Beach Name,County,BeachLength (Mi),Ownership Type,Accessibility Type,Special Note,Link Notes
333 Commercial Street,BARNSTABLE,0.085,Municipal,2,,
451 Commercial Street,BARNSTABLE,0.057,Municipal,2,,
593 Commercial Street,BARNSTABLE,0.022,Municipal,2,,
637 Commercial Street,BARNSTABLE,0.232,Municipal,2,,
Andrew Harding Lane Beach,BARNSTABLE,0.046,Municipal,1,permit,
Atkins Lane,BARNSTABLE,0.066,Municipal,0,,
Atlantic Avenue,BARNSTABLE,0.051,Municipal,1,parking,
Atlantic Avenue,BARNSTABLE,0.027,Municipal,1,permit,
Ballston,BARNSTABLE,0.137,Municipal,1,permit/parking,
Bank Street - Bayview Rd,BARNSTABLE,0.06,Municipal,0,permit,
Barlows Landing,BARNSTABLE,0.061,Municipal,1,parking,
Bass River East,BARNSTABLE,0.07,,,,
Bass River West,BARNSTABLE,0.08,Municipal,1,permit/parking,
Baxter Avenue,BARNSTABLE,0.124,Municipal,1,parking,
Bay Road,BARNSTABLE,0.008,Municipal,1,parking,
Bay View Beach,BARNSTABLE,0.093,Municipal,1,permit,
Bayview Street,BARNSTABLE,0.08,Municipal,1,parking,
Beach Point Beach,BARNSTABLE,0.8,Municipal,0,,
Bikepath Beach (Trunk River) - East,BARNSTABLE,0.13,Municipal,1,permit,
Bikepath Beach (Trunk River) - West,BARNSTABLE,0.21,Municipal,1,permit,
Boat Meadow,BARNSTABLE,0.14,Municipal,1,permit/parking,
Breakwater Landing,BARNSTABLE,0.24,Municipal,1,permit/parking,
Bristol - East,BARNSTABLE,0.234,Municipal,1,permit,
Bristol - West,BARNSTABLE,0.164,,,,
Brooks Road,BARNSTABLE,0.05,Municipal,1,permit/parking,
Bucks Creek,BARNSTABLE,0.18,Municipal,1,permit/parking,
Burton Baker,BARNSTABLE,0.02,Municipal,1,permit/parking,
Cahoon Hollow,BARNSTABLE,0.174,Municipal,1,permit/parking,
Callies Beach,BARNSTABLE,0.313,Municipal,2,,
Campground,BARNSTABLE,0.034,Municipal,1,permit/parking,
Cape Cod Sea Camps (Bay),BARNSTABLE,0.224,Municipal,1,permit/parking,
Cataumet Harbor,BARNSTABLE,0.065,Municipal,1,parking,
Chapin Memorial,BARNSTABLE,0.91,Municipal,0,,
Chapoquoit,BARNSTABLE,0.25,Municipal,1,permit/parking,
Chatham Bars Inn,BARNSTABLE,0.184,Other,2,,
Clipper Lane,BARNSTABLE,0.02,Municipal,0,,
Coast Guard Beach,BARNSTABLE,0.49,Municipal,1,permit/parking,
Cockle Cove,BARNSTABLE,0.056,Municipal,1,parking,
Cold Storage,BARNSTABLE,0.172,Municipal,1,permit,
Cold Storage/Pond Village,BARNSTABLE,0.035,Municipal,1,parking,
Cole Road,BARNSTABLE,0.05,Municipal,1,permit/parking,
Colonial Acres East,BARNSTABLE,0.14,Municipal,1,permit/parking,
Colonial Acres West,BARNSTABLE,0.04,Municipal,1,permit,
Columbus Avenue,BARNSTABLE,0.011,Municipal,2,,
Cook's Brook,BARNSTABLE,0.09,Municipal,1,permit/parking,
Corn Hill,BARNSTABLE,0.128,Municipal,1,permit/parking,
Corporation,BARNSTABLE,0.189,Municipal,0,,
Court Street,BARNSTABLE,0.025,Municipal,0,,
Covell's,BARNSTABLE,0.122,Municipal,1,permit/parking,
Craigville,BARNSTABLE,0.35,Municipal,1,permit/parking,
Crosby Landing,BARNSTABLE,0.666,Municipal,1,permit,
Cross Street,BARNSTABLE,0.022,Municipal,1,permit,
Dowses,BARNSTABLE,0.465,Municipal,1,permit,
Duck Harbor,BARNSTABLE,0.178,Municipal ,1,permit,
Dyer Prince,BARNSTABLE,0.469,Municipal ,1,permit,
Earle Road,BARNSTABLE,0.055,Municipal ,1,permit,
East Sandwich,BARNSTABLE,0.914,Municipal,1,permit,
Electric Avenue,BARNSTABLE,0.052,Municipal,1,permit,
Ellis Landing,BARNSTABLE,0.1,Municipal,1,permit,
Englewood,BARNSTABLE,0.043,Municipal,0,,
Eugenia Fortes,BARNSTABLE,0.115,Municipal,1,permit,
Falmouth Heights East,BARNSTABLE,0.11,Municipal,1,permit/parking,
Falmouth Heights West,BARNSTABLE,0.17,Municipal,1,permit/parking,
First Encounter - Spit River,BARNSTABLE,0.29,Municipal,1,permit/parking,
First Encounter Beach,BARNSTABLE,0.3,Municipal,1,permit/parking,
Fisher,BARNSTABLE,0.082,Municipal,1,permit,
Follins Pond,BARNSTABLE,0.037,,,,
Follins Pond,BARNSTABLE,0.034,,,,
Forest Street Beach,BARNSTABLE,0.505,Municipal,0,,
Gray Gables Beach,BARNSTABLE,0.078,Municipal,1,permit,
Glendon Road - East,BARNSTABLE,0.03,Municipal,1,permit/parking,
Glendon Road - West,BARNSTABLE,0.05,Municipal,1,permit/parking,
Gray's Beach,BARNSTABLE,0.073,Municipal,1,permit,
Great Hollow,BARNSTABLE,0.036,Municipal,1,permit,
Grey Neck,BARNSTABLE,0.048,Municipal ,1,permit,
Haigis,BARNSTABLE,0.062,Municpal,1,permit/parking,
Harborview,BARNSTABLE,0.043,Municpal,1,permit/parking,
Hardings East,BARNSTABLE,1.1,Municipal,1,permit,
Hardings West,BARNSTABLE,0.16,Municipal,1,permit,
Head of the Meadow (Town),BARNSTABLE,0.128,Municipal,1,permit,
Howes Street,BARNSTABLE,0.062,Municpal,1,permit/parking,
Indian Neck,BARNSTABLE,0.28,Municipal,1,permit,
Inman Road,BARNSTABLE,0.2,Municpal,1,permit/parking,
Jacknife Harbor,BARNSTABLE,0.15,Municipal,0,,
Johnson Street,BARNSTABLE,0.026,Municipal,1,permit/parking,
Kalmus Ocean,BARNSTABLE,0.517,Municipal,1,permit,
Kalmus Yacht,BARNSTABLE,0.436,Municipal,1,permit,
Kendal Lane,BARNSTABLE,0.089,,,,
Kennedy Memorial/Veterans Beach,BARNSTABLE,0.18,Municipal,1,permit,
Keyes Beach,BARNSTABLE,0.19,Municipal,1,permit,
Kingsbury,BARNSTABLE,0.008,Municipal,1,permit/parking,
Lighthouse,BARNSTABLE,0.141,Municipal,1,permit/parking,
Linnell Landing,BARNSTABLE,0.74,State,1,permit,
Longnook,BARNSTABLE,0.079,Municipal,1,permit,
Loops,BARNSTABLE,0.041,Municipal,1,permit,
Maguire Landing,BARNSTABLE,0.092,Municipal,1,permit,
Malfa Road,BARNSTABLE,0.03,Municipal,1,permit,
Mants,BARNSTABLE,0.051,Municipal,1,permit,
Mashpee Neck Road (Town Landing),BARNSTABLE,0.04,Municipal,1,permit,
Mayflower,BARNSTABLE,0.263,Municipal,1,permit,
Mayo,BARNSTABLE,0.221,Municipal,1,permit,
Meeting House Pond,BARNSTABLE,0.016,Municipal,,,
Megansett,BARNSTABLE,0.091,Municipal,1,permit/parking,
Menauhant East,BARNSTABLE,0.12,State,1,permit/parking,
Menauhant West,BARNSTABLE,0.29,Municipal,1,permit/parking,
Merkel Beach (Snow Inn Road),BARNSTABLE,0.21,Municipal,1,permit,
Mill Creek,BARNSTABLE,0.46,Municipal,0,,
Mill Road,BARNSTABLE,0.123,Municipal,1,parking,
Millway,BARNSTABLE,0.107,Municipal,2,homeowners,https://www.weneedavacation.com/Beach/Millway-Beach-Barnstable/
Monument,BARNSTABLE,0.216,Municipal,1,permit,
Nauset,BARNSTABLE,8.57,State,1,permit/parking,
Neel Road,BARNSTABLE,0.02,Municipal,1,permit,
Newcomb Hollow,BARNSTABLE,1.605,Municipal,1,permit,
Noon's Landing,BARNSTABLE,0.042,Municipal,1,permit,
Old Silver (Public) - North,BARNSTABLE,0.06,Municipal,1,permit/parking,
Old Silver (Public) - South,BARNSTABLE,0.08,Municipal,1,permit/parking,
Old Silver 1 (Residents),BARNSTABLE,0.11,Municipal,1,permit/parking,
Omaha Road,BARNSTABLE,0.078,Municipal,1,permit,
Oyster Pond,BARNSTABLE,0.071,Municipal,1,permit/parking,
Paines Creek,BARNSTABLE,0.289,Municipal,1,permit,
Pamet Harbor,BARNSTABLE,0.064,Municipal,1,parking,
Parkers River East,BARNSTABLE,0.034,Municipal,0,,link on mass.gov not available - https://www.yarmouth.ma.us/464/Beach-Stickers
Parkers River West,BARNSTABLE,0.065,Municipal,0,,link on mass.gov not available - https://www.yarmouth.ma.us/464/Beach-Stickers
Patuisset Beach,BARNSTABLE,0.01,,,,
Pleasant Bay,BARNSTABLE,0.039,Municipal,1,permit,
Pleasant Road,BARNSTABLE,0.092,Municipal,1,permit,
Pleasant Street,BARNSTABLE,0.041,Municipal,1,permit/parking,
Point of Rocks,BARNSTABLE,0.05,Municipal,1,permit,
Powers Landing,BARNSTABLE,0.049,Municipal,1,parking,
Provincetown Inn East,BARNSTABLE,0.17,Hotel,2,,
Provincetown Inn Rotary,BARNSTABLE,0.255,Hotel,2,,
Raycroft,BARNSTABLE,0.013,Municipal,1,permit/parking,
Red River East,BARNSTABLE,0.105,Municipal,1,permit ,
Red River Middle,BARNSTABLE,0.186,Municipal,1,permit,
Red River West,BARNSTABLE,0.178,Municipal,1,permit,
Ridgevale,BARNSTABLE,0.339,Municipal,1,parking,
Ropes,BARNSTABLE,0.096,Municipal,1,permit,
Ryder,BARNSTABLE,0.014,Municipal,1,permit,
Ryder Street,BARNSTABLE,0.096,Municipal,1,permit,
S. Sunken Meadow,BARNSTABLE,0.06,Municipal,1,permit/parking,
Sagamore,BARNSTABLE,1.384,Municipal,1,permit,
Saints Landing,BARNSTABLE,0.067,Municipal,1,permit,
Salt Pond,BARNSTABLE,0.03,,0,,
Sandy Neck,BARNSTABLE,6.2,Municipal,1,permit,
Scraggy Beach: South Causeway,BARNSTABLE,0.18,Other,2,homeowners,
Scusset (DCR),BARNSTABLE,0.46,State,1,parking,
Sea Breeze Avenue,BARNSTABLE,0.04,,,,
Sea Street (Dennisport),BARNSTABLE,0.096,Municipal,1,permit/parking,
Sea Street (East Dennis),BARNSTABLE,0.111,Municipal,1,permit/parking,
Seagull (Center),BARNSTABLE,0.278,Municipal,0,,
Seagull (Left),BARNSTABLE,0.076,Municipal,0,,
Seagull (Right),BARNSTABLE,0.44,Municipal,0,,
Seaview Ave. Beach,BARNSTABLE,0.051,Municipal,1,permit,
Seconsett Island Causeway,BARNSTABLE,0.029,Municipal,1,permit,https://www.capenews.net/mashpee/news/selectmen-approve-nonresident-parking-sticker-for-seconsett-island-causeway/article_3078cbc2-4aaa-5fdd-a251-c7c995878cd2.html
Skaket Beach,BARNSTABLE,0.169,Municipal,1,permit/parking,https://www.weneedavacation.com/Beach/Skaket-Beach-Orleans/
South Cape Beach (DCR),BARNSTABLE,0.4,Municipal,1,parking,https://www.mass.gov/locations/south-cape-beach-state-park
South Middle,BARNSTABLE,0.07,Municipal,2,,https://yarmouthcapecod.com/scenic-yarmouth/beaches/
South Village,BARNSTABLE,0.098,Municipal,1,parking,https://www.weneedavacation.com/Beach/South-Village-Beach-Dennis/
Stoney Beach (MBL),BARNSTABLE,0.098,Municipal,1,permit,https://www.savebuzzardsbay.org/places-to-go/stony-beach/
Sullivan (Depot St.),BARNSTABLE,0.013,Municipal,1,parking,https://www.weneedavacation.com/Beach/Depot-St-Beach-Dennis/
Sunset Beach Association,BARNSTABLE,0.05,,,,
Surf Drive - East,BARNSTABLE,0.04,Municipal,1,parking,
Surf Drive - Pool,BARNSTABLE,0.06,Municipal,1,parking,
Surf Drive - West,BARNSTABLE,0.22,Municipal,1,parking,
Sutton Place East,BARNSTABLE,0.189,Municipal,0,,https://www.theswimguide.org/beach/3573
Thatcher Town Park,BARNSTABLE,0.039,Municipal,1,permit/parking,https://yarmouthcapecod.com/scenic-yarmouth/beaches/
The Gut,BARNSTABLE,0.138,Municipal,1,permit,https://www.weneedavacation.com/Beach/The-Gut-Great-Island-Wellfleet/
Thumpertown,BARNSTABLE,0.17,Municipal,1,permit/parking,
Tides Hotel,BARNSTABLE,0.089,,,,
Town Cove,BARNSTABLE,0.05,,,,
Town Landing - Breakwater,BARNSTABLE,0.34,Municipal,1,permit,https://www.falmouthme.org/land-management-acquisitions-committee/pages/town-landing
Town Landing - Snail Road,BARNSTABLE,0.069,Municipal,1,permit,https://www.falmouthme.org/land-management-acquisitions-committee/pages/town-landing
Town Landing - West of Coast Guard,BARNSTABLE,0.016,Municipal,1,permit,https://www.falmouthme.org/land-management-acquisitions-committee/pages/town-landing
Town Neck (Hemispheres),BARNSTABLE,0.281,Municipal,1,permit/parking,https://www.sandwichmass.org/168/Beaches
Town Neck Beach,BARNSTABLE,0.444,Municipal,1,permit/parking,https://www.sandwichmass.org/168/Beaches
Trotting Park,BARNSTABLE,0.067,Municipal,0,,https://www.theswimguide.org/beach/3574 https://www.vrbo.com/1469590?r=DESCRIPTION
Vernon St.,BARNSTABLE,0.04,,,,
Wah Wah Taysee Road,BARNSTABLE,0.034,Municipal,1,permit,
Wequasett Inn Resort,BARNSTABLE,0.186,Private,2,,https://www.fivestaralliance.com/luxury-hotels/hyannis-ma/wequassett-inn
West Dennis - Residential,BARNSTABLE,0.109,Municipal,1,permit/parking,https://www.town.dennis.ma.us/beach-department/pages/beach-regulations
West Dennis - West,BARNSTABLE,1.063,Municipal,1,permit/parking,https://www.town.dennis.ma.us/beach-department/pages/beach-regulations
West Dennis - West of snack bar,BARNSTABLE,0.158,Municipal,1,permit/parking,https://www.town.dennis.ma.us/beach-department/pages/beach-regulations
West End Lot,BARNSTABLE,0.031,Municipal,0,,
White Crest,BARNSTABLE,0.128,Municipal,1,permit,
Wilbur Park,BARNSTABLE,0.062,Municipal,0,,https://www.yarmouth.ma.us/676/Wilbur-Park
Windmill,BARNSTABLE,0.034,Municipal,0,,
Winston Ave,BARNSTABLE,0.3,,,,
Wood Neck Beach,BARNSTABLE,0.108,Municipal,1,permit,
Wood Neck River,BARNSTABLE,0.086,Municipal,1,permit,
Zylpha Road Beach,BARNSTABLE,0.05,Municipal,1,permit,
400 Beach,BRISTOL,0.11,,,,
Apponagansett Town Beach,BRISTOL,0.283,Municipal,1,parking,
Cherry and Webb,BRISTOL,0.82,Municipal,1,permit,
